"id","firmbr","firm","brand","city","year","quarter","share","constant","price","sugar","mushy","z1","z2","z3","z4","z5","z6","z7","z8","z9","z10","z11","z12","z13","z14","z15","z16","z17","z18","z19","z20"
4.01e+08,4010,4,10,1,88,1,0.00073173,1,0.13567,6,0,-0.11918,0.047209,-2.9956,-0.29885,-0.22081,-0.036426,1.2126,0.21824,-0.56359,0.36119,2.3791,0.046361,-0.0034635,0.10518,0.059736,0.10566,0.15469,0.09715,0.1152,0.10271
401200000,4012,4,12,1,88,1,0.0094905,1,0.13517,12,0,-0.13871,0.042379,-5.9782,-0.061297,-0.17558,-0.026593,-2.8858,0.092584,-0.37776,0.23018,1.3056,0.02765,-0.0020908,0.10978,0.10031,0.11459,0.086087,0.10004,0.15868,0.10021
601800000,6018,6,18,1,88,1,0.04657,1,0.14282,0,0,-0.1321,0.033116,-3.1195,-0.33978,-0.21833,-0.048825,8.4768,0.32381,-0.80183,0.32359,3.0404,0.018107,0.00041811,0.10656,0.20245,0.10099,0.093576,0.108,0.049803,0.10982
100400000,1004,1,4,3,88,1,0.0025965,1,0.08057,2,1,-0.43771,0.040374,-1.4317,-0.60056,-0.298,-0.019182,1.0203,-0.33477,-0.2867,0.18835,-0.94051,0.13897,0.0037489,0.037036,-0.042367,0.088362,0.042108,0.047753,0.088486,0.040789
100600000,1006,1,6,3,88,1,0.076963,1,0.10582,18,1,-0.3812,0.035173,-10.301,-0.34509,-0.114,-0.011965,-2.0527,-0.11614,-0.13709,-0.036466,-1.1893,-0.12613,0.01315,0.06281,0.072949,0.020416,0.072955,0.070522,0.016972,0.06667
100700000,1007,1,7,3,88,1,0.026425,1,0.11993,4,1,-0.4373,0.039227,-0.78619,-0.58443,-0.29584,-0.036025,0.23032,-0.33533,-0.56495,0.20158,-0.76379,0.17502,0.0076488,0.077482,0.15731,0.093282,0.062046,0.079951,0.10344,0.087993
100900000,1009,1,9,3,88,1,0.0016032,1,0.10179,3,0,-0.49075,0.034694,1.1019,-0.19139,-0.30276,-0.028207,0.95063,0.11744,-0.4358,0.39646,-3.5267,-0.25864,0.0015933,0.075834,0.11171,0.02478,0.094092,0.069269,0.063191,0.063569
101100000,1011,1,11,3,88,1,0.0039516,1,0.20152,12,0,-0.43597,0.076094,-5.7653,-0.21728,-0.27563,-0.075307,-2.8165,0.13206,-1.2262,0.38177,4.8096,-0.33911,-0.043532,0.16512,0.21614,0.165,0.16997,0.17426,0.14179,0.15967
101300000,1013,1,13,3,88,1,0.012406,1,0.14597,14,0,-0.42947,0.049311,-8.546,-0.22529,-0.26102,-0.044103,-3.5675,0.12122,-0.69324,0.33299,5.9638,-0.28853,-0.010105,0.095599,0.054338,0.085267,0.10084,0.10484,0.015105,0.11054
101700000,1017,1,17,3,88,1,0.0045836,1,0.13725,3,1,-0.44874,0.030944,-0.86081,-0.5575,-0.30399,-0.044901,0.68901,-0.34867,-0.7148,0.21805,-1.1649,0.19396,0.0082885,0.085478,0.10287,0.13987,0.1077,0.083037,0.10925,0.10065
1.03e+08,1030,1,30,3,88,1,0.0061714,1,0.12449,4,0,-0.48429,0.029375,1.2116,-0.19475,-0.30079,-0.038972,0.54949,0.11911,-0.61619,0.40373,-2.8405,-0.27309,-0.0044694,0.08031,0.019441,0.068974,0.0916,0.084103,0.062789,0.081057
104500000,1045,1,45,3,88,1,0.028987,1,0.10139,14,0,-0.42366,0.030546,-8.1272,-0.21403,-0.24647,-0.022569,-3.3261,0.10619,-0.33177,0.28894,5.032,-0.23615,0.0068258,0.091139,0.044218,0.053939,-0.027699,0.056257,0.024666,0.06532
200500000,2005,2,5,3,88,1,0.02434,1,0.10555,1,0,-0.51834,0.032113,0.46084,-0.22112,-0.31115,-0.030815,1.8522,0.12056,-0.481,0.38902,-4.9372,-0.24988,0.00050976,0.05924,-0.011047,-0.012875,0.09707,0.069686,0.052059,0.07173
200800000,2008,2,8,3,88,1,0.032212,1,0.12446,11,0,-0.43921,0.040619,-4.4386,-0.199,-0.27032,-0.03522,-2.3228,0.11709,-0.54656,0.35918,3.6161,-0.27957,-0.0032558,0.06734,0.17654,0.10167,0.13486,0.074079,0.088677,0.085954
201500000,2015,2,15,3,88,1,0.003593,1,0.10936,4,1,-0.43558,0.039847,-0.86694,-0.59297,-0.29356,-0.031201,0.21362,-0.33103,-0.48463,0.19452,-0.69096,0.16289,0.0070804,0.0868,0.040359,0.10057,0.08867,0.091154,0.10776,0.069121
201600000,2016,2,16,3,88,1,0.04279,1,0.12619,3,1,-0.44465,0.035068,-0.92716,-0.56882,-0.30212,-0.039592,0.67107,-0.34481,-0.62579,0.21111,-1.0779,0.18265,0.0077647,0.085937,0.13351,0.067912,0.093256,0.079037,0.11776,0.082164
201900000,2019,2,19,3,88,1,0.0050369,1,0.11909,13,0,-0.43142,0.037966,-6.967,-0.21222,-0.25894,-0.031383,-3.078,0.11413,-0.47998,0.32563,4.9272,-0.26475,0.00041209,0.09637,0.025486,0.063052,0.13507,0.071137,0.066837,0.081744
202600000,2026,2,26,3,88,1,0.022667,1,0.11073,13,0,-0.4306,0.034688,-6.917,-0.20977,-0.25632,-0.027437,-3.0434,0.11143,-0.41395,0.31743,4.7868,-0.25518,0.0033727,0.069591,0.025543,0.11473,0.072641,0.066673,0.080029,0.068023
202800000,2028,2,28,3,88,1,0.054034,1,0.14011,16,1,-0.44397,0.042092,-8.2324,-0.36007,-0.20475,-0.03097,-3.2637,-0.22403,-0.4544,0.095101,1.1676,0.036026,0.013431,0.11786,0.10844,0.090663,0.15817,0.091664,0.042283,0.10167
2.04e+08,2040,2,40,3,88,1,0.0011441,1,0.12713,10,0,-0.44291,0.041245,-3.2434,-0.19342,-0.27539,-0.037104,-1.9236,0.11795,-0.57923,0.37304,2.7964,-0.28456,-0.0049972,0.10583,0.11142,0.10233,0.11764,0.083941,0.22401,0.091334
204800000,2048,2,48,3,88,1,0.0022035,1,0.14183,3,0,-0.50068,0.017041,1.3392,-0.21412,-0.30618,-0.048255,0.99882,0.12161,-0.77379,0.40365,-3.7476,-0.27347,-0.0082356,0.11523,0.10151,0.15997,0.061389,0.10136,0.082016,0.10539
300600000,3006,3,6,3,88,1,0.003243,1,0.14555,20,1,-0.38672,0.03913,-13.262,-0.30455,-0.14459,-0.022859,-3.0589,-0.15238,-0.30326,0.014907,-0.10158,-0.067419,0.017401,0.12819,0.15423,0.12823,0.12145,0.11529,0.13371,0.11162
301400000,3014,3,14,3,88,1,0.015989,1,0.18012,7,0,-0.46256,0.039949,0.274,-0.20146,-0.29232,-0.065812,-0.6478,0.1249,-1.0673,0.4117,-0.2803,-0.31311,-0.028309,0.13297,0.13231,0.11859,0.19486,0.14075,0.079021,0.14203
400200000,4002,4,2,3,88,1,0.0081645,1,0.14133,14,0,-0.42916,0.047092,-8.5054,-0.22455,-0.2599,-0.041716,-3.5477,0.1199,-0.65285,0.32939,5.8839,-0.2836,-0.00791,0.092371,0.18536,0.11476,0.14984,0.11401,0.14307,0.097922
4.01e+08,4010,4,10,3,88,1,0.0064368,1,0.10203,6,0,-0.46229,0.034397,0.19246,-0.17272,-0.28959,-0.027054,-0.31291,0.11471,-0.41419,0.39246,-0.8592,-0.26727,0.0025702,0.064645,0.072085,0.066525,0.080917,0.064961,-0.02853,0.06718
401200000,4012,4,12,3,88,1,0.027149,1,0.082049,12,0,-0.43196,0.0252,-5.5709,-0.19117,-0.25188,-0.015341,-2.581,0.10301,-0.21434,0.30275,3.7982,-0.22805,0.01072,0.026811,0.10313,0.018836,0.065925,0.049241,-0.035396,0.053002
601800000,6018,6,18,3,88,1,0.0021284,1,0.14695,0,0,-0.54603,-0.010535,-0.40078,-0.26151,-0.31738,-0.052462,2.3662,0.12518,-0.84778,0.38388,-5.5221,-0.25227,-0.003762,0.11139,0.079431,0.1558,0.093473,0.10668,0.13006,0.11308
100400000,1004,1,4,4,88,1,0.0016149,1,0.079873,2,1,-0.10397,-0.033961,0.33633,0.35401,-0.15338,0.012318,5.5275,-0.74874,0.30949,-0.075544,2.8351,-0.44894,-0.019772,0.054265,-0.084773,0.01714,0.060051,0.053931,0.061683,0.04178
100600000,1006,1,6,4,88,1,0.013691,1,0.13603,18,1,-0.19249,-0.048462,-6.6609,0.31367,-0.094893,-0.018788,-3.0572,-0.30448,-0.23757,-0.10018,-4.3372,-0.49571,-0.011461,0.10583,0.1105,0.16149,0.037473,0.091926,0.14418,0.095788
100700000,1007,1,7,4,88,1,0.0080688,1,0.11667,4,1,-0.12215,-0.027204,1.3572,0.36895,-0.14876,-0.019085,3.9759,-0.76816,-0.25799,-0.079698,1.854,-0.48054,-0.012057,0.066456,0.044292,0.065474,0.066322,0.080315,0.018116,0.094714
100900000,1009,1,9,4,88,1,0.023215,1,0.097506,3,0,-0.10028,-0.025581,1.5947,0.053001,-0.15245,-0.0042244,4.719,0.080484,0.0075857,-0.054611,0.12356,0.054174,-0.015962,0.054498,0.047138,0.066487,0.045494,0.05612,0.049857,0.066258
101100000,1011,1,11,4,88,1,0.10528,1,0.1433,12,0,-0.18219,-0.037695,-0.44406,-0.016614,-0.13227,-0.034682,-1.7091,0.052901,-0.52997,-0.079702,-0.68503,0.044467,-0.0102,0.10428,0.09805,0.078439,0.12746,0.092724,0.075579,0.099833
101300000,1013,1,13,4,88,1,0.10408,1,0.1038,14,0,-0.2881,-0.015004,-2.5891,-0.014753,-0.094753,-0.0067864,-1.9897,0.034741,-0.040721,-0.04383,-0.45104,0.038026,-0.017022,0.072835,0.027656,0.054629,0.09678,0.069887,0.014828,0.060425
101700000,1017,1,17,4,88,1,0.027773,1,0.12258,3,1,-0.12132,-0.025106,0.95937,0.30521,-0.14921,-0.024752,5.0489,-0.80814,-0.36128,-0.073939,2.3581,-0.49282,-0.010986,0.074827,0.092425,0.063543,0.12721,0.10214,0.037286,0.081235
1.03e+08,1030,1,30,4,88,1,0.0049423,1,0.11775,4,0,-0.11621,-0.02549,1.8729,0.05219,-0.14921,-0.020215,4.0378,0.083272,-0.27868,-0.059772,-0.0089711,0.057655,-0.013102,0.09645,-0.012012,0.079534,0.092318,0.084026,0.097597,0.092068
104500000,1045,1,45,4,88,1,0.022149,1,0.10147,14,0,-0.29465,-0.013793,-2.6363,-0.014345,-0.092444,-0.0056612,-1.9407,0.033857,-0.02169,-0.040833,-0.4188,0.037334,-0.017263,0.056115,0.045779,0.092571,0.03614,0.050363,0.080218,0.066129
200500000,2005,2,5,4,88,1,0.008621,1,0.12302,1,0,-0.10578,-0.023914,0.82858,0.13791,-0.15128,-0.025404,6.9248,0.11723,-0.37309,-0.054752,1.2276,0.084727,-0.012269,0.07966,0.10083,0.088808,0.10759,0.080437,-0.023814,0.088986
200800000,2008,2,8,4,88,1,0.018974,1,0.11397,11,0,-0.18986,-0.022806,0.17231,-0.015852,-0.1307,-0.015215,-1.0299,0.048204,-0.1883,-0.080999,-0.60554,0.042365,-0.013243,0.096316,0.03385,0.069347,0.08282,0.083531,0.039523,0.079713
201500000,2015,2,15,4,88,1,0.0041348,1,0.10343,4,1,-0.11858,-0.028705,1.3036,0.39818,-0.14948,-0.0079364,3.8391,-0.73898,-0.056948,-0.083275,1.8922,-0.46989,-0.014702,0.076765,0.0084372,0.048624,0.048916,0.081082,0.099972,0.06783
201600000,2016,2,16,4,88,1,0.023049,1,0.13461,3,1,-0.1243,-0.021193,0.96936,0.27673,-0.14845,-0.036687,5.1581,-0.82886,-0.57967,-0.072697,2.3507,-0.50538,-0.0084,0.08235,0.1561,0.032179,0.14339,0.10288,0.081589,0.10249
201900000,2019,2,19,4,88,1,0.0072402,1,0.13522,13,0,-0.20299,-0.033327,-1.2278,-0.018461,-0.12509,-0.027338,-2.1504,0.04807,-0.39863,-0.076872,-0.69308,0.044125,-0.011751,0.11162,0.055439,0.14571,0.062144,0.10334,0.006944,0.10342
202600000,2026,2,26,4,88,1,0.046323,1,0.12119,13,0,-0.22095,-0.02532,-1.3066,-0.017689,-0.11924,-0.017935,-2.0054,0.044141,-0.23396,-0.072957,-0.65039,0.042794,-0.013595,0.079097,-0.0021248,0.060059,0.12817,0.086676,0.086718,0.087481
202800000,2028,2,28,4,88,1,0.0053878,1,0.17149,16,1,-0.15419,-0.065423,-3.925,0.40384,-0.12219,-0.043552,-3.4755,-0.46553,-0.67027,-0.12025,-3.8542,-0.53857,-0.00045815,0.13779,0.19038,0.16992,0.13262,0.13355,0.13271,0.13303
2.04e+08,2040,2,40,4,88,1,0.01026,1,0.11677,10,0,-0.17234,-0.024766,0.73562,-0.01317,-0.13604,-0.017645,-0.45737,0.052061,-0.2314,-0.080565,-0.59174,0.042719,-0.012768,0.087562,0.020932,0.1373,0.089512,0.093058,0.152,0.076932
204800000,2048,2,48,4,88,1,0.010603,1,0.12875,3,0,-0.1157,-0.024512,1.6766,0.087771,-0.14925,-0.029901,5.0313,0.098753,-0.45366,-0.058462,0.38393,0.069889,-0.011434,0.12374,0.14315,0.13669,0.06387,0.093805,0.025715,0.090619
300600000,3006,3,6,4,88,1,0.013104,1,0.13951,20,1,-0.2327,-0.050686,-9.5722,0.29416,-0.077228,-0.016406,-3.055,-0.24906,-0.19141,-0.063579,-4.4648,-0.43173,-0.015172,0.11537,0.15743,0.15654,0.094912,0.096108,0.060744,0.097023
301400000,3014,3,14,4,88,1,0.14667,1,0.095879,7,0,-0.14027,-0.019618,1.7505,-0.0015497,-0.14451,-0.0041302,1.5027,0.056676,0.0062161,-0.073273,-0.43985,0.04178,-0.015075,0.057699,0.079904,0.075966,0.055222,0.039512,0.10186,0.044885
400200000,4002,4,2,4,88,1,0.014203,1,0.14749,14,0,-0.20698,-0.040236,-2.0789,-0.019781,-0.12289,-0.034344,-2.7074,0.048533,-0.52008,-0.074114,-0.75813,0.045149,-0.010845,0.09206,0.11263,0.12196,0.094279,0.11205,0.12058,0.10714
4.01e+08,4010,4,10,4,88,1,0.01769,1,0.091445,6,0,-0.12784,-0.02002,1.8729,0.0053406,-0.14722,-0.00093753,2.2139,0.059479,0.063045,-0.068702,-0.36443,0.042181,-0.015768,0.050231,0.029664,0.024614,0.046075,0.057529,0.12647,0.052698
401200000,4012,4,12,4,88,1,0.024737,1,0.10208,12,0,-0.22728,-0.01568,-0.59732,-0.016139,-0.11847,-0.0075037,-1.4353,0.041575,-0.054153,-0.074246,-0.58326,0.040783,-0.014956,0.053899,0.067021,0.10685,0.036368,0.074519,0.090594,0.060066
601800000,6018,6,18,4,88,1,0.006766,1,0.15351,0,0,-0.11871,-0.012571,0.12042,0.22334,-0.14874,-0.056422,8.3628,0.15295,-0.94165,-0.060472,2.4495,0.1174,-0.0060165,0.12352,0.13944,0.13281,0.13632,0.11349,0.14911,0.12178
100410000,1004,1,4,5,88,1,0.0016258,1,0.10356,2,1,0.50664,-0.033543,-2.6099,-0.43349,-0.38914,-0.035236,1.6754,-0.59954,-0.56398,-0.2746,1.8634,-0.66736,0.012425,0.067181,0.011671,0.0095397,0.0082992,0.074268,0.033426,0.071413
100610000,1006,1,6,5,88,1,0.034929,1,0.10376,18,1,0.75131,-0.045234,-3.5613,-0.5449,-0.13642,-0.014413,-2.4126,-0.12649,-0.18314,-0.36263,-6.9311,-0.42138,0.017913,0.059858,0.035804,0.014511,0.029252,0.075614,0.032204,0.076229
100710000,1007,1,7,5,88,1,0.0015877,1,0.13983,4,1,0.50377,-0.053968,-0.72845,-0.51135,-0.38526,-0.060154,0.38573,-0.6099,-1.0023,-0.2668,0.53482,-0.66431,0.020261,0.11296,0.10263,0.14396,0.16926,0.10991,0.094603,0.1116
100910000,1009,1,9,5,88,1,0.021592,1,0.068478,3,0,0.52139,-0.021114,-1.0918,-0.013539,-0.39002,-0.016012,0.59844,0.063107,-0.23554,-0.17598,-0.55514,0.0027772,0.010639,0.057455,0.01425,0.037562,0.037839,0.049644,-0.005645,0.028162
101110000,1011,1,11,5,88,1,0.03086,1,0.18041,12,0,0.51506,-0.054586,4.5179,0.044171,-0.35849,-0.077242,-4.4083,0.069347,-1.2852,-0.17565,-2.3325,-0.012525,0.018177,0.15306,0.18063,0.14013,0.12353,0.14592,0.20995,0.14081
101310000,1013,1,13,5,88,1,0.011325,1,0.14901,14,0,0.53883,-0.042699,3.1358,0.018229,-0.31743,-0.051531,-4.5632,0.054003,-0.82988,-0.17218,-2.6394,-0.029271,0.019176,0.11146,0.073377,0.156,0.1029,0.12934,0.12642,0.11195
101710000,1017,1,17,5,88,1,0.041879,1,0.11021,3,1,0.503,-0.037389,-1.5931,-0.46449,-0.3863,-0.039584,0.97005,-0.59233,-0.64014,-0.27178,1.1578,-0.65799,0.013967,0.077958,0.10773,0.07327,0.030643,0.062164,0.051024,0.057238
103010000,1030,1,30,5,88,1,0.0056845,1,0.11521,4,0,0.52487,-0.034763,-0.27868,0.0077273,-0.39384,-0.044568,0.096424,0.073564,-0.73032,-0.18331,-0.70737,0.0056788,0.011173,0.090146,0.096514,0.1151,0.040966,0.077616,0.19171,0.084739
104510000,1045,1,45,5,88,1,0.010697,1,0.13933,14,0,0.54374,-0.040701,2.8517,0.014781,-0.3105,-0.046101,-4.4263,0.051609,-0.737,-0.17078,-2.6087,-0.03065,0.018156,0.1053,0.13162,-0.01514,0.066708,0.078914,0.0289,0.10182
200510000,2005,2,5,5,88,1,0.022579,1,0.12952,1,0,0.54238,-0.038143,-3.7761,-0.0011772,-0.40653,-0.055696,2.2446,0.084728,-0.92753,-0.20015,0.20384,0.012047,0.01147,0.079772,0.049371,0.060925,0.1321,0.10275,0.054281,0.086489
200810000,2008,2,8,5,88,1,0.068566,1,0.097606,11,0,0.51618,-0.031467,3.5272,0.019342,-0.32494,-0.029545,-3.3326,0.048948,-0.46483,-0.15098,-1.7986,-0.025133,0.011739,0.050353,0.12551,0.047446,0.070174,0.045118,0.0030889,0.066423
201510000,2015,2,15,5,88,1,0.0010338,1,0.10533,4,1,0.49796,-0.034788,-0.59284,-0.48891,-0.38195,-0.036226,0.22318,-0.57119,-0.58128,-0.26875,0.42681,-0.63705,0.013157,0.080286,0.1041,0.10848,0.067385,0.067628,0.05598,0.068666
201610000,2016,2,16,5,88,1,0.013231,1,0.13751,3,1,0.50764,-0.052265,-1.6641,-0.49103,-0.38781,-0.059017,1.1367,-0.6206,-0.98304,-0.26834,1.2492,-0.67449,0.019617,0.12027,0.026655,-0.011541,0.092519,0.10276,0.080574,0.10993
201910000,2019,2,19,5,88,1,0.015558,1,0.12789,13,0,0.53268,-0.038843,3.29,0.017996,-0.31728,-0.042141,-4.111,0.051293,-0.67325,-0.16442,-2.323,-0.028571,0.016,0.11231,0.14459,0.14305,0.060827,0.081994,0.099686,0.094613
202610000,2026,2,26,5,88,1,0.013218,1,0.10956,13,0,0.54033,-0.035183,2.8243,0.013,-0.30316,-0.032785,-3.8802,0.046946,-0.51498,-0.15997,-2.2571,-0.030958,0.01381,0.088432,0.0028837,0.099879,0.042995,0.058175,0.036775,0.073518
202810000,2028,2,28,5,88,1,0.0094086,1,0.19033,16,1,0.53201,-0.06446,2.8301,-0.65059,-0.30942,-0.069071,-5.4819,-0.38857,-1.1222,-0.22681,-5.0882,-0.41004,0.034295,0.16018,0.10989,0.15875,0.15941,0.15334,0.13553,0.157
204010000,2040,2,40,5,88,1,0.0078892,1,0.14559,10,0,0.5121,-0.044734,3.9219,0.033059,-0.36289,-0.058277,-3.3237,0.06468,-0.96019,-0.17001,-1.8132,-0.010406,0.014466,0.11648,0.11996,0.13117,0.18711,0.097675,0.038479,0.10736
204810000,2048,2,48,5,88,1,0.0097714,1,0.0973,3,0,0.52744,-0.029448,-1.2644,-0.0055251,-0.39592,-0.033444,0.7025,0.070848,-0.53707,-0.18441,-0.5168,0.0059302,0.010962,0.058398,0.11678,0.12958,0.0052286,0.075098,0.066637,0.067344
300610000,3006,3,6,5,88,1,0.015416,1,0.1345,20,1,0.79312,-0.051049,-5.5464,-0.46359,-0.13701,-0.018783,-2.696,-0.12502,-0.23824,-0.3741,-8.0033,-0.436,0.024922,0.080167,0.027458,0.09876,0.101,0.089732,0.067207,0.10613
301410000,3014,3,14,5,88,1,0.028194,1,0.1359,7,0,0.51552,-0.041722,2.2928,0.027825,-0.38186,-0.055958,-1.7478,0.071363,-0.92584,-0.1759,-1.2754,0.00012576,0.012174,0.098635,0.14735,0.066833,0.0865,0.093075,0.065701,0.10517
400210000,4002,4,2,5,88,1,0.013363,1,0.13533,14,0,0.54594,-0.039931,2.7318,0.01341,-0.3075,-0.043937,-4.3693,0.05064,-0.70016,-0.17022,-2.5969,-0.031144,0.017697,0.10477,0.14164,0.10762,0.079601,0.089629,0.15629,0.11155
401010000,4010,4,10,5,88,1,0.0030878,1,0.11243,6,0,0.51565,-0.034183,1.5916,0.01513,-0.38232,-0.041752,-1.16,0.066982,-0.67976,-0.17361,-1.0825,-0.00024778,0.011464,0.07481,0.062764,0.078249,0.050264,0.08501,0.16872,0.075865
401210000,4012,4,12,5,88,1,0.038454,1,0.085088,12,0,0.5318,-0.029782,2.8945,0.013512,-0.29905,-0.022766,-3.4242,0.043679,-0.34989,-0.14774,-1.9312,-0.030579,0.010233,0.05316,-0.0090851,0.049295,0.010803,0.045313,0.030144,0.05322
601810000,6018,6,18,5,88,1,0.0043769,1,0.14011,0,0,0.5486,-0.040719,-5.0886,-0.00037798,-0.40955,-0.063745,3.0383,0.089502,-1.0702,-0.20649,0.68139,0.01391,0.012134,0.10787,0.080712,0.090747,0.1338,0.1002,0.068136,0.10831
